round,hospital,n_test,accuracy,precision,recall,f1,auc
1,hungary,73,0.6438,0.0,0.0,0.0,0.8216
1,switzerland,29,0.069,0.0,0.0,0.0,0.4815
1,va_long_beach,35,0.2286,0.0,0.0,0.0,0.838
1,cleveland,76,0.5395,0.0,0.0,0.0,0.8509
2,cleveland,76,0.7368,0.8571,0.5143,0.6429,0.8871
2,switzerland,29,0.4828,1.0,0.4444,0.6154,0.5185
2,hungary,73,0.7123,0.7778,0.2692,0.4,0.8511
2,va_long_beach,35,0.6286,0.8889,0.5926,0.7111,0.7917
3,switzerland,29,0.7586,0.9167,0.8148,0.8627,0.6111
3,hungary,73,0.8082,0.7143,0.7692,0.7407,0.8633
3,va_long_beach,35,0.8286,0.8387,0.963,0.8966,0.7963
3,cleveland,76,0.8421,0.7949,0.8857,0.8378,0.9108
4,cleveland,76,0.8289,0.775,0.8857,0.8267,0.9213
4,hungary,73,0.8219,0.697,0.8846,0.7797,0.8846
4,switzerland,29,0.8621,0.9259,0.9259,0.9259,0.5926
4,va_long_beach,35,0.8,0.8125,0.963,0.8814,0.7917
5,hungary,73,0.8219,0.697,0.8846,0.7797,0.8961
5,switzerland,29,0.8276,0.9231,0.8889,0.9057,0.6111
5,cleveland,76,0.8289,0.7619,0.9143,0.8312,0.9289
5,va_long_beach,35,0.8,0.8125,0.963,0.8814,0.8056
6,hungary,73,0.8493,0.7419,0.8846,0.807,0.9092
6,va_long_beach,35,0.8,0.8125,0.963,0.8814,0.7917
6,cleveland,76,0.8684,0.8205,0.9143,0.8649,0.9373
6,switzerland,29,0.8276,0.9231,0.8889,0.9057,0.5
7,hungary,73,0.8493,0.7419,0.8846,0.807,0.9141
7,cleveland,76,0.8684,0.8205,0.9143,0.8649,0.9401
7,switzerland,29,0.8621,0.9259,0.9259,0.9259,0.5185
7,va_long_beach,35,0.8,0.8125,0.963,0.8814,0.7963
8,va_long_beach,35,0.7429,0.7812,0.9259,0.8475,0.7963
8,hungary,73,0.8493,0.7586,0.8462,0.8,0.9206
8,cleveland,76,0.8816,0.825,0.9429,0.88,0.9387
8,switzerland,29,0.8621,0.9259,0.9259,0.9259,0.537
9,hungary,73,0.8493,0.7778,0.8077,0.7925,0.9231
9,cleveland,76,0.8684,0.8049,0.9429,0.8684,0.9394
9,va_long_beach,35,0.7429,0.7812,0.9259,0.8475,0.7963
9,switzerland,29,0.8621,0.9259,0.9259,0.9259,0.537
10,cleveland,76,0.8553,0.7857,0.9429,0.8571,0.9373
10,va_long_beach,35,0.7429,0.7812,0.9259,0.8475,0.7963
10,switzerland,29,0.8621,0.9259,0.9259,0.9259,0.537
10,hungary,73,0.8356,0.75,0.8077,0.7778,0.9214
11,va_long_beach,35,0.7429,0.7812,0.9259,0.8475,0.8102
11,cleveland,76,0.8421,0.7674,0.9429,0.8462,0.9345
11,hungary,73,0.8356,0.75,0.8077,0.7778,0.9206
11,switzerland,29,0.8276,0.9231,0.8889,0.9057,0.537
12,switzerland,29,0.8276,0.9231,0.8889,0.9057,0.5185
12,va_long_beach,35,0.7714,0.8065,0.9259,0.8621,0.8102
12,cleveland,76,0.8421,0.7674,0.9429,0.8462,0.931
12,hungary,73,0.8493,0.7586,0.8462,0.8,0.9214
13,va_long_beach,35,0.7714,0.8065,0.9259,0.8621,0.8102
13,switzerland,29,0.8276,0.9231,0.8889,0.9057,0.537
13,hungary,73,0.8493,0.7586,0.8462,0.8,0.9198
13,cleveland,76,0.8553,0.7857,0.9429,0.8571,0.9268
14,hungary,73,0.8493,0.7586,0.8462,0.8,0.919
14,switzerland,29,0.8276,0.9231,0.8889,0.9057,0.537
14,va_long_beach,35,0.7714,0.8065,0.9259,0.8621,0.8194
14,cleveland,76,0.8553,0.7857,0.9429,0.8571,0.924
15,hungary,73,0.8493,0.7419,0.8846,0.807,0.9182
15,cleveland,76,0.8553,0.7857,0.9429,0.8571,0.9206
15,switzerland,29,0.8276,0.9231,0.8889,0.9057,0.537
15,va_long_beach,35,0.7714,0.8065,0.9259,0.8621,0.8102
16,cleveland,76,0.8553,0.7857,0.9429,0.8571,0.9185
16,va_long_beach,35,0.8,0.8333,0.9259,0.8772,0.8056
16,switzerland,29,0.8276,0.9231,0.8889,0.9057,0.537
16,hungary,73,0.8493,0.7419,0.8846,0.807,0.9182
17,cleveland,76,0.8421,0.7674,0.9429,0.8462,0.9157
17,va_long_beach,35,0.8,0.8333,0.9259,0.8772,0.8148
17,switzerland,29,0.8276,0.9231,0.8889,0.9057,0.5185
17,hungary,73,0.8493,0.7419,0.8846,0.807,0.9182
18,hungary,73,0.8493,0.7419,0.8846,0.807,0.9182
18,cleveland,76,0.8289,0.75,0.9429,0.8354,0.9143
18,switzerland,29,0.8276,0.9231,0.8889,0.9057,0.537
18,va_long_beach,35,0.8,0.8333,0.9259,0.8772,0.8194
19,va_long_beach,35,0.8,0.8333,0.9259,0.8772,0.8287
19,cleveland,76,0.8289,0.75,0.9429,0.8354,0.9129
19,switzerland,29,0.8276,0.9231,0.8889,0.9057,0.5185
19,hungary,73,0.8493,0.7419,0.8846,0.807,0.919
20,switzerland,29,0.8276,0.9231,0.8889,0.9057,0.5185
20,hungary,73,0.8493,0.7419,0.8846,0.807,0.9182
20,va_long_beach,35,0.8,0.8333,0.9259,0.8772,0.838
20,cleveland,76,0.8289,0.75,0.9429,0.8354,0.9108
