round,hospital,n_test,accuracy,precision,recall,f1,auc
1,switzerland,29,0.069,0.0,0.0,0.0,0.463
1,hungary,73,0.6438,0.0,0.0,0.0,0.8183
1,va_long_beach,35,0.2286,0.0,0.0,0.0,0.8287
1,cleveland,76,0.5395,0.0,0.0,0.0,0.8439
2,switzerland,29,0.3793,1.0,0.3333,0.5,0.5741
2,cleveland,76,0.7237,0.85,0.4857,0.6182,0.8801
2,va_long_beach,35,0.4857,0.9091,0.3704,0.5263,0.8009
2,hungary,73,0.6986,0.75,0.2308,0.3529,0.847
3,hungary,73,0.7945,0.72,0.6923,0.7059,0.8617
3,va_long_beach,35,0.8286,0.8387,0.963,0.8966,0.787
3,switzerland,29,0.6897,0.9091,0.7407,0.8163,0.6111
3,cleveland,76,0.8289,0.7895,0.8571,0.8219,0.9024
4,cleveland,76,0.8289,0.775,0.8857,0.8267,0.915
4,hungary,73,0.8219,0.697,0.8846,0.7797,0.8773
4,switzerland,29,0.8621,0.9259,0.9259,0.9259,0.6111
4,va_long_beach,35,0.8,0.8125,0.963,0.8814,0.787
5,cleveland,76,0.8289,0.7619,0.9143,0.8312,0.9226
5,hungary,73,0.8219,0.697,0.8846,0.7797,0.8961
5,va_long_beach,35,0.8,0.8125,0.963,0.8814,0.8102
5,switzerland,29,0.8621,0.9259,0.9259,0.9259,0.6111
6,va_long_beach,35,0.7714,0.7879,0.963,0.8667,0.7917
6,switzerland,29,0.8621,0.9259,0.9259,0.9259,0.5926
6,hungary,73,0.8356,0.7059,0.9231,0.8,0.9043
6,cleveland,76,0.8421,0.7805,0.9143,0.8421,0.9303
7,hungary,73,0.8219,0.697,0.8846,0.7797,0.9083
7,va_long_beach,35,0.7714,0.7879,0.963,0.8667,0.8009
7,cleveland,76,0.8553,0.8,0.9143,0.8533,0.9352
7,switzerland,29,0.8621,0.9259,0.9259,0.9259,0.5741
8,cleveland,76,0.8816,0.825,0.9429,0.88,0.9394
8,hungary,73,0.8493,0.7419,0.8846,0.807,0.9133
8,switzerland,29,0.8966,0.9286,0.963,0.9455,0.5185
8,va_long_beach,35,0.7714,0.7879,0.963,0.8667,0.8102
9,hungary,73,0.8493,0.7419,0.8846,0.807,0.9116
9,switzerland,29,0.8966,0.9286,0.963,0.9455,0.5
9,cleveland,76,0.8816,0.825,0.9429,0.88,0.9366
9,va_long_beach,35,0.7714,0.7879,0.963,0.8667,0.8102
10,hungary,73,0.8493,0.7586,0.8462,0.8,0.9149
10,switzerland,29,0.8621,0.9259,0.9259,0.9259,0.5
10,va_long_beach,35,0.7714,0.7879,0.963,0.8667,0.8102
10,cleveland,76,0.8553,0.7857,0.9429,0.8571,0.9373
11,va_long_beach,35,0.7714,0.7879,0.963,0.8667,0.8056
11,hungary,73,0.8493,0.7586,0.8462,0.8,0.9206
11,switzerland,29,0.8276,0.9231,0.8889,0.9057,0.5
11,cleveland,76,0.8421,0.7674,0.9429,0.8462,0.9373
12,cleveland,76,0.8421,0.7674,0.9429,0.8462,0.9366
12,switzerland,29,0.8276,0.9231,0.8889,0.9057,0.5
12,va_long_beach,35,0.8,0.8125,0.963,0.8814,0.8148
12,hungary,73,0.8493,0.7586,0.8462,0.8,0.9223
13,hungary,73,0.8493,0.7586,0.8462,0.8,0.9198
13,va_long_beach,35,0.8,0.8125,0.963,0.8814,0.8056
13,switzerland,29,0.8276,0.9231,0.8889,0.9057,0.5
13,cleveland,76,0.8421,0.7674,0.9429,0.8462,0.9359
14,va_long_beach,35,0.8,0.8125,0.963,0.8814,0.8056
14,hungary,73,0.8493,0.7586,0.8462,0.8,0.919
14,switzerland,29,0.8276,0.9231,0.8889,0.9057,0.5
14,cleveland,76,0.8421,0.7674,0.9429,0.8462,0.9359
15,cleveland,76,0.8421,0.7674,0.9429,0.8462,0.9366
15,va_long_beach,35,0.8,0.8125,0.963,0.8814,0.8056
15,switzerland,29,0.8276,0.9231,0.8889,0.9057,0.4815
15,hungary,73,0.863,0.7667,0.8846,0.8214,0.9182
16,switzerland,29,0.8276,0.9231,0.8889,0.9057,0.5185
16,hungary,73,0.863,0.7667,0.8846,0.8214,0.9149
16,va_long_beach,35,0.8,0.8125,0.963,0.8814,0.8009
16,cleveland,76,0.8421,0.7674,0.9429,0.8462,0.9338
17,switzerland,29,0.8276,0.9231,0.8889,0.9057,0.5185
17,cleveland,76,0.8421,0.7674,0.9429,0.8462,0.9324
17,va_long_beach,35,0.8286,0.8387,0.963,0.8966,0.8102
17,hungary,73,0.8493,0.7419,0.8846,0.807,0.9157
18,switzerland,29,0.8276,0.9231,0.8889,0.9057,0.537
18,va_long_beach,35,0.8,0.8333,0.9259,0.8772,0.8148
18,hungary,73,0.8493,0.7419,0.8846,0.807,0.9141
18,cleveland,76,0.8421,0.7674,0.9429,0.8462,0.9331
19,hungary,73,0.8356,0.7333,0.8462,0.7857,0.9165
19,cleveland,76,0.8421,0.7674,0.9429,0.8462,0.931
19,va_long_beach,35,0.8,0.8333,0.9259,0.8772,0.8102
19,switzerland,29,0.8276,0.9231,0.8889,0.9057,0.537
20,va_long_beach,35,0.8,0.8333,0.9259,0.8772,0.8009
20,cleveland,76,0.8421,0.7674,0.9429,0.8462,0.9317
20,switzerland,29,0.8276,0.9231,0.8889,0.9057,0.537
20,hungary,73,0.8356,0.7333,0.8462,0.7857,0.9157
